Record Number	Action Type	Action Time	End Time	User Name	Display Name	Duration
39179	Incoming Call	12/5/2015 1:13	12/5/2015 2:40	skyper1	Skyper 1	1.45
36650	Incoming Call	11/4/2015 22:34	11/5/2015 0:01	skyper1	Skyper 1	1.44
32720	Incoming Call	9/28/2015 1:04	9/28/2015 2:28	skyper1	Skyper 1	1.4
29390	Incoming Call	9/6/2015 3:09	9/6/2015 4:32	skyper1	Skyper 1	1.38
53162	Incoming Call	3/26/2016 19:05	3/26/2016 20:27	skyper1	Skyper 1	1.38
16396	Incoming Call	1/28/2015 21:00	1/28/2015 22:22	skyper1	Skyper 1	1.38
38156	Outgoing Call	11/18/2015 23:24	11/19/2015 0:46	skyper1	Skyper 1	1.36
53476	Incoming Call	3/29/2016 1:55	3/29/2016 3:16	skyper1	Skyper 1	1.36
37717	Incoming Call	11/14/2015 1:55	11/14/2015 3:16	skyper1	Skyper 1	1.35
31212	Incoming Call	9/18/2015 0:53	9/18/2015 2:14	skyper1	Skyper 1	1.35
13158	Outgoing Call	12/25/2014 4:14	12/25/2014 5:33	skyper1	Skyper 1	1.31
40084	Incoming Call	12/17/2015 0:06	12/17/2015 1:23	skyper1	Skyper 1	1.28
20756	Incoming Call	4/30/2015 1:30	4/30/2015 2:46	skyper1	Skyper 1	1.27
45053	Incoming Call	1/24/2016 1:19	1/24/2016 2:33	skyper1	Skyper 1	1.24
52964	Incoming Call	3/24/2016 21:15	3/24/2016 22:28	skyper1	Skyper 1	1.21
20426	Incoming Call	4/23/2015 3:53	4/23/2015 5:05	skyper1	Skyper 1	1.21
26415	Incoming Call	7/26/2015 18:35	7/26/2015 19:47	skyper1	Skyper 1	1.2
34887	Incoming Call	10/17/2015 19:13	10/17/2015 20:25	skyper1	Skyper 1	1.19
52892	Incoming Call	3/24/2016 18:22	3/24/2016 19:33	skyper1	Skyper 1	1.18
21621	Incoming Call	5/19/2015 23:38	5/20/2015 0:49	skyper1	Skyper 1	1.18
46010	Incoming Call	2/4/2016 0:08	2/4/2016 1:18	skyper1	Skyper 1	1.17
17767	Incoming Call	2/8/2015 19:31	2/8/2015 20:41	skyper1	Skyper 1	1.17
20221	Incoming Call	4/20/2015 0:33	4/20/2015 1:43	skyper1	Skyper 1	1.15
51744	Incoming Call	3/9/2016 23:31	3/10/2016 0:39	skyper1	Skyper 1	1.12
21679	Incoming Call	5/20/2015 23:03	5/21/2015 0:10	skyper1	Skyper 1	1.12
51858	Incoming Call	3/10/2016 20:50	3/10/2016 21:57	skyper1	Skyper 1	1.11
33262	Incoming Call	10/3/2015 3:01	10/3/2015 4:08	skyper1	Skyper 1	1.11
49729	Incoming Call	2/28/2016 23:32	2/29/2016 0:38	skyper1	Skyper 1	1.1
51443	Incoming Call	3/9/2016 0:22	3/9/2016 1:27	skyper1	Skyper 1	1.09
37419	Incoming Call	11/12/2015 0:28	11/12/2015 1:34	skyper1	Skyper 1	1.09
18945	Incoming Call	3/12/2015 16:45	3/12/2015 17:49	skyper1	Skyper 1	1.07
36849	Incoming Call	11/5/2015 19:16	11/5/2015 20:20	skyper1	Skyper 1	1.07
51875	Incoming Call	3/11/2016 0:07	3/11/2016 1:11	skyper1	Skyper 1	1.07
48405	Incoming Call	2/21/2016 3:46	2/21/2016 4:50	skyper1	Skyper 1	1.06
33599	Incoming Call	10/5/2015 1:17	10/5/2015 2:20	skyper1	Skyper 1	1.04
