Time	Author	Message	Skype Name
8/26/2014 1:06	Skyper 2	…	skyper2
8/26/2014 1:06	Skyper 2	…	skyper2
8/26/2014 1:09	Skyper 1	…	skyper1
8/26/2014 1:16	Skyper 1	…	skyper1
8/26/2014 1:30	Skyper 2	…	skyper2
8/26/2014 1:30	Skyper 2	…	skyper2
8/26/2014 1:31	Skyper 1	…	skyper1
8/26/2014 1:31	Skyper 2	…	skyper2
8/26/2014 1:31	Skyper 2	…	skyper2
8/26/2014 1:31	Skyper 1	…	skyper1
8/26/2014 1:33	Skyper 1	…	skyper1
8/26/2014 1:33	Skyper 1	…	skyper1
8/26/2014 10:51	Skyper 1	…	skyper1
8/26/2014 10:52	Skyper 2	…	skyper2
8/26/2014 10:52	Skyper 2	…	skyper2
8/26/2014 10:52	Skyper 1	…	skyper1
8/26/2014 10:52	Skyper 1	…	skyper1
8/26/2014 10:52	Skyper 1	…	skyper1
8/26/2014 10:53	Skyper 1	…	skyper1
8/26/2014 10:53	Skyper 1	…	skyper1
8/26/2014 10:54	Skyper 2	…	skyper2
8/26/2014 10:54	Skyper 1	…	skyper1
8/26/2014 10:54	Skyper 1	…	skyper1
8/26/2014 10:56	Skyper 1	…	skyper1
8/26/2014 10:59	Skyper 1	…	skyper1
8/26/2014 10:59	Skyper 1	…	skyper1
8/26/2014 10:59	Skyper 1	…	skyper1
8/26/2014 11:01	Skyper 1	…	skyper1
8/26/2014 11:01	Skyper 1	…	skyper1
8/26/2014 11:13	Skyper 2	…	skyper2
8/26/2014 11:14	Skyper 1	…	skyper1
8/26/2014 11:14	Skyper 1	…	skyper1
8/26/2014 11:14	Skyper 1	…	skyper1
8/26/2014 11:14	Skyper 2	…	skyper2
8/26/2014 11:15	Skyper 1	…	skyper1
8/26/2014 11:15	Skyper 2	…	skyper2
8/26/2014 11:15	Skyper 1	…	skyper1
8/26/2014 12:02	Skyper 2	…	skyper2
8/26/2014 12:02	Skyper 2	…	skyper2
8/26/2014 12:02	Skyper 2	…	skyper2
8/26/2014 12:03	Skyper 2	…	skyper2
8/26/2014 12:09	Skyper 2	…	skyper2
8/26/2014 12:12	Skyper 2	…	skyper2
8/26/2014 14:21	Skyper 2	…	skyper2
8/26/2014 15:38	Skyper 1	…	skyper1
8/26/2014 15:40	Skyper 1	…	skyper1
8/26/2014 15:41	Skyper 1	…	skyper1
8/26/2014 15:41	Skyper 1	…	skyper1
8/26/2014 16:20	Skyper 2	…	skyper2
8/26/2014 16:26	Skyper 1	…	skyper1
8/26/2014 16:28	Skyper 1	…	skyper1
8/26/2014 16:28	Skyper 1	…	skyper1
8/26/2014 17:08	Skyper 2	…	skyper2
8/26/2014 17:10	Skyper 2	…	skyper2
8/26/2014 17:10	Skyper 2	…	skyper2
8/26/2014 17:16	Skyper 2	…	skyper2
8/26/2014 17:16	Skyper 2	…	skyper2
8/26/2014 17:17	Skyper 1	…	skyper1
8/26/2014 17:17	Skyper 1	…	skyper1
8/26/2014 17:17	Skyper 1	…	skyper1
8/26/2014 17:20	Skyper 2	…	skyper2
8/26/2014 17:20	Skyper 2	…	skyper2
8/26/2014 17:20	Skyper 2	…	skyper2
8/26/2014 17:20	Skyper 2	…	skyper2
8/26/2014 17:21	Skyper 2	…	skyper2
8/26/2014 17:21	Skyper 2	…	skyper2
8/26/2014 17:22	Skyper 2	…	skyper2
8/26/2014 17:23	Skyper 1	…	skyper1
8/26/2014 17:27	Skyper 2	…	skyper2
8/26/2014 17:28	Skyper 2	…	skyper2
8/26/2014 17:29	Skyper 2	…	skyper2
8/26/2014 17:30	Skyper 2	…	skyper2
8/26/2014 17:30	Skyper 2	…	skyper2
8/26/2014 17:38	Skyper 1	…	skyper1
8/26/2014 17:41	Skyper 1	…	skyper1
8/26/2014 18:06	Skyper 2	…	skyper2
8/26/2014 18:24	Skyper 1	…	skyper1
8/26/2014 18:26	Skyper 1	…	skyper1
